crew_name,id_movie
Aleksandr Veledinskiy,"[225235, 62616]"
Aleksandr Voytinskiy,"[31162, 57809, 428398, 332512, 148347]"
Aleksandr Zakharov,[75294]
Aleksandr Zarkhi,[142797]
Aleksandra Snezhko-Blotskaya,[116733]
Aleksei Korenev,"[75262, 409903]"
Aleksei Mishurin,[20977]
Aleksei Muradov,[46663]
Aleksei Popogrebsky,"[49653, 38325]"
Aleksei Sidorov,[56372]
Aleksey Andrianov,[102197]
Aleksey Balabanov,"[20992, 84002, 34869, 51284, 20993, 56212, 20994, 82737, 65839, 127236, 104376]"
Aleksey Batalov,[117863]
Aleksey Fedorchenko,"[25530, 51276, 180960, 297789, 102858]"
Aleksey German,"[133008, 71762, 83491, 100784, 110402, 164041]"
Aleksey German Jr,"[12428, 191608, 320005]"
Aleksey Gordeev,[137801]
Aleksey Krasovskiy,[401861]
Aleksey Mizgiryov,"[376565, 64393]"
Aleksey Nuzhnyy,[143169]
Aleksey Tsitsilin,"[292014, 362058]"
Aleksey Uchitel,"[23898, 65614, 62729, 55608]"
Aleksi Mäkelä,"[38821, 20164, 37988, 29040, 173865, 25335, 29670, 108762, 211233, 53500, 257668, 88126, 379335]"
Aleksi Salmenperä,"[20163, 50990, 189242, 359325, 378350]"
Aleksi Vellis,[16874]
Alessandro Angelini,[62349]
Alessandro Baricco,[69471]
Alessandro Blasetti,[139609]
Alessandro Capone,[277399]
Alessandro Carloni,[140300]
Alessandro D'Alatri,[62545]
Alessandro Di Robilant,[213648]
Alessandro Genovesi,"[328720, 147868, 77944, 298722]"
Alessandro Pambianco,[64155]
Alessandro Pepe,[383001]
Alessandro Piva,[59046]
Alessandro Rak,[238923]
Alessandro Siani,[315319]
Alessio Maria Federici,[295832]
Alessio Rigo de Righi,[378480]
Alex Anwandter,[383526]
Alex Berry,[338063]
Alex Bowen,[37006]
Alex Brewer,[301608]
Alex Chandon,"[20591, 19444, 82743]"
Alex Chapple,[48008]
Alex Coletti,[408546]
Alex Cox,"[13820, 14924, 9698, 23750, 28448, 54837]"
Alex Craig Mann,[139715]
Alex Dawson,[111949]
Alex De Rakoff,"[31063, 32678]"
Alex Fegan,[257026]
Alex Freeman,[460870]
Alex Galvin,[31036]
Alex Garcia Lopez,[331501]
Alex Garland,[264660]
Alex Gibney,"[13020, 13362, 13003, 44999, 45274, 43942, 57211, 75803, 124074, 159154, 216755, 214083, 250705, 140481, 318224, 93103, 329241, 324308, 297603, 380808]"
Alex Goyette,[305932]
Alex Graves,[197626]
Alex Grazioli,[343043]
Alex Gregory,[69778]
Alex Grossman,[434234]
Alex Helfrecht,[364410]
Alex Holdridge,[13120]
Alex Holmes,[273997]
Alex Horwitz,[415078]
Alex Infascelli,[58195]
Alex Jones,"[9561, 18312, 16986, 26750]"
Alex Kalimát,[267292]
Alex Kalymnios,[336845]
Alex Karpovsky,"[129854, 137312, 111170]"
Alex Kavutskiy,[254251]
Alex Kendrick,"[18925, 14438, 72213, 17345, 323272]"
Alex Kurtzman,"[98548, 282035]"
Alex Law,[39693]
Alex March,[86284]
Alex Mebane,[128862]
Alex Mechanik,[278738]
Alex Meillier,[174346]
Alex Merkin,"[21469, 203264, 443700]"
Alex Nicol,[34078]
Alex Ollé,[71786]
Alex Orwell,[55861]
Alex Pillai,"[126464, 371833]"
Alex Pires,[69803]
Alex Pitstra,[157033]
Alex Proyas,"[9495, 2666, 25921, 2048, 13811, 205584]"
Alex R. Johnson,[253286]
Alex Ranarivelo,"[74523, 394047, 213927, 431261]"
Alex Rivera,[20764]
Alex Ross Perry,"[83125, 251736, 300542]"
Alex Rotaru,[105586]
Alex Rudzinski,"[348089, 409447]"
Alex Schaad,[437838]
Alex Schmidt,[133396]
Alex Segal,"[241568, 122698, 120539]"
Alex Sichel,[12793]
Alex Simmons,[387889]
Alex Smith,"[21801, 157045]"
Alex Stapleton,[56591]
Alex Steyermark,"[28026, 228039, 15075]"
Alex Stockman,"[74546, 270024]"
Alex Timbers,[460822]
Alex Turner,"[19592, 14977]"
Alex Vlack,[55063]
Alex Winter,"[121091, 17796, 173210, 321769, 311615]"
Alex Wright,"[232462, 245792]"
Alex Zamm,"[31535, 54540, 19273, 289728, 21935, 84575, 260535, 32195, 360603, 299582, 19766, 50332]"
Alex de Renzy,[123787]
Alex van Warmerdam,"[5816, 5899, 2754, 186929, 5900, 333555, 42346, 50387, 74464]"
Alexander E. Sokoloff,[35148]
Alexander Gentelev,[103894]
Alexander Grasshoff,[31074]
Alexander Gruszynski,[18070]
Alexander Hall,"[38914, 33049, 43150, 109711, 28299, 108200, 33052, 140281, 184802, 160254, 61434, 82178, 80850]"
